"49124";"1";"1";"traffic";"138392";"1478114548559";"1478114548555";"1478114548556";"1478114548557";"?";"1478114548557";"1478114550568";"1478114550780";
"49134";"1";"1";"traffic";"131881";"1478114548583";"1478114548577";"1478114548577";"1478114548577";"?";"1478114548578";"1478114550532";"1478114550782";
"49137";"1";"1";"traffic";"134172";"1478114548586";"1478114548580";"1478114548583";"1478114548583";"?";"1478114548583";"1478114550558";"1478114550789";
"49120";"1";"1";"traffic";"147866";"1478114548540";"1478114548553";"1478114548556";"1478114548556";"?";"1478114548561";"1478114550562";"1478114550794";
"49114";"1";"1";"traffic";"142154";"1478114548535";"1478114548552";"1478114548553";"1478114548553";"?";"1478114548554";"1478114550569";"1478114550796";
"49108";"1";"1";"traffic";"112836";"1478114548525";"1478114548552";"1478114548553";"1478114548553";"?";"1478114548554";"1478114550556";"1478114550800";
"49121";"1";"1";"traffic";"126742";"1478114548551";"1478114548553";"1478114548556";"1478114548556";"?";"1478114548556";"1478114550555";"1478114550807";
"49110";"1";"1";"structural";"326129";"1478114548545";"1478114548556";"1478114548557";"1478114548558";"?";"1478114548558";"1478114550578";"1478114550877";
"49105";"1";"1";"air";"35658";"1478114548525";"1478114548529";"1478114548538";"1478114548539";"?";"1478114548539";"1478114550559";"1478114550901";
"49133";"1";"1";"waste";"445346";"1478114548599";"1478114548592";"1478114550572";"1478114550572";"?";"1478114550573";"1478114550803";"1478114550905";
"49146";"1";"1";"traffic";"109006";"1478114548615";"1478114548609";"1478114550612";"1478114550612";"?";"1478114550612";"1478114550904";"1478114550918";
"49112";"1";"1";"waste";"427772";"1478114548573";"1478114548567";"1478114548567";"1478114548567";"?";"1478114548567";"1478114550546";"1478114550923";
"49141";"1";"1";"traffic";"147732";"1478114548599";"1478114548593";"1478114550572";"1478114550572";"?";"1478114550572";"1478114550809";"1478114550937";
"49145";"1";"1";"traffic";"113329";"1478114548602";"1478114548595";"1478114550606";"1478114550607";"?";"1478114550607";"1478114550891";"1478114550954";
"49128";"1";"1";"structural";"315023";"1478114548606";"1478114548599";"1478114550609";"1478114550610";"?";"1478114550610";"1478114550900";"1478114550963";
"49186";"1";"1";"light";"1";"1478114548688";"1478114548681";"1478114550768";"1478114550768";"?";"1478114550769";"1478114550982";"1478114550993";
"49161";"1";"1";"waste";"418077";"1478114548693";"1478114548686";"1478114550770";"1478114550770";"?";"1478114550770";"1478114550982";"1478114551029";
"49167";"1";"1";"traffic";"139170";"1478114548644";"1478114548638";"1478114550623";"1478114550624";"?";"1478114550627";"1478114551068";"1478114551118";
"49165";"1";"1";"light";"1";"1478114548643";"1478114548637";"1478114550623";"1478114550624";"?";"1478114550624";"1478114551110";"1478114551126";
"49155";"1";"1";"light";"1";"1478114548627";"1478114548619";"1478114550613";"1478114550613";"?";"1478114550613";"1478114551150";"1478114551160";
"49138";"1";"1";"noise";"224697";"1478114548609";"1478114548602";"1478114550610";"1478114550610";"?";"1478114550610";"1478114551145";"1478114551175";
"49152";"1";"1";"structural";"307366";"1478114548626";"1478114548619";"1478114550613";"1478114550613";"?";"1478114550613";"1478114551170";"1478114551181";
"49148";"1";"1";"noise";"206130";"1478114548640";"1478114548634";"1478114550621";"1478114550621";"?";"1478114550623";"1478114551173";"1478114551186";
"49179";"1";"1";"light";"1";"1478114548674";"1478114548667";"1478114550638";"1478114550638";"?";"1478114550638";"1478114551177";"1478114551189";
"49143";"1";"1";"air";"22341";"1478114548610";"1478114548603";"1478114550611";"1478114550611";"?";"1478114550619";"1478114551160";"1478114551204";
"49164";"1";"1";"light";"1";"1478114548643";"1478114548635";"1478114550623";"1478114550623";"?";"1478114550629";"1478114551247";"1478114551257";
"49175";"1";"1";"light";"1";"1478114548660";"1478114548654";"1478114550636";"1478114550637";"?";"1478114550637";"1478114551248";"1478114551265";
"49173";"1";"1";"light";"1";"1478114548660";"1478114548653";"1478114550631";"1478114550632";"?";"1478114550632";"1478114551258";"1478114551268";
"49192";"1";"1";"light";"1";"1478114548704";"1478114548697";"1478114550865";"1478114550865";"?";"1478114550865";"1478114551261";"1478114551272";
